address,ppsqm,postal_code,lat,lon,travel_time,town
1 BEACH RD,5647.058823529412,189673,1.29509740789339,103.85406834457,16.133333333333333,KALLANG/WHAMPOA
1 BEDOK STH AVE 1,5686.440677966102,460001,1.32085208990817,103.933721096337,33.8,BEDOK
1 CHAI CHEE RD,4561.464340462808,461001,1.32796879176302,103.922716018139,30.75,BEDOK
1 DELTA AVE,7427.63025210084,160001,1.2920752508431,103.828584077626,26.266666666666666,BUKIT MERAH
1 DOVER RD,5734.615384615385,130001,1.3025299473495,103.783271662459,34.28333333333333,QUEENSTOWN
1 EVERTON PK,6054.519000342349,080001,1.27549895431693,103.841398475091,24.0,BUKIT MERAH
1 GHIM MOH RD,5631.578947368421,270001,1.31287975684307,103.786855017635,35.11666666666667,QUEENSTOWN
1 HAIG RD,6099.796610169491,430001,1.31129091152627,103.897703432652,27.533333333333335,GEYLANG
1 HOUGANG AVE 3,5254.237288135593,530001,1.36413097349222,103.89300132385,12.966666666666667,HOUGANG
1 JLN BT MERAH,5507.8125,150001,1.28644157642074,103.808286977232,30.683333333333334,BUKIT MERAH
1 KG KAYU RD,6612.903225806452,431001,1.30355769675629,103.883796413118,20.366666666666667,KALLANG/WHAMPOA
1 LOR 7 TOA PAYOH,4743.554952510176,310001,1.33943033543358,103.853442790992,15.683333333333334,TOA PAYOH
1 LOR LEW LIAN,5546.232876712329,531001,1.35086712646948,103.875343939672,7.716666666666667,SERANGOON
1 MARINE TER,7083.333333333333,440001,1.30482902187779,103.918614976369,33.11666666666667,MARINE PARADE
1 MARSILING DR,4430.7692307692305,730001,1.44067942258288,103.776119757434,49.93333333333333,WOODLANDS
1 PINE CL,8146.1894736842105,390001,1.30787056219408,103.883192164927,20.45,GEYLANG
1 QUEEN'S RD,7317.073170731707,260001,1.31726629524359,103.806782877524,22.1,BUKIT TIMAH
1 ST. GEORGE'S RD,5207.317073170731,320001,1.32340263694069,103.86163080083,13.216666666666667,KALLANG/WHAMPOA
1 TECK WHYE AVE,4603.268958278667,680001,1.38253882861956,103.751710905678,43.53333333333333,CHOA CHU KANG
1 TELOK BLANGAH CRES,5303.030303030303,090001,1.27945660077329,103.817897561986,31.933333333333334,BUKIT MERAH
1 TG PAGAR PLAZA,7813.559322033898,082001,1.2755961982077,103.842393171342,22.833333333333332,CENTRAL AREA
1 TOH YI DR,7152.7692307692305,591501,1.33958155877064,103.774586318946,30.4,BUKIT TIMAH
10 CHAI CHEE RD,6041.666666666667,467010,1.32727572366021,103.924803599281,30.216666666666665,BEDOK
10 EUNOS CRES,5824.1648351648355,400010,1.32228655863065,103.902720513959,23.5,GEYLANG
10 GLOUCESTER RD,6298.507462686567,210010,1.31388788181031,103.852226892124,13.5,KALLANG/WHAMPOA
10 HAIG RD,5846.153846153846,430010,1.31483950176268,103.895865169739,21.583333333333332,GEYLANG
10 JLN BATU,6044.487427466151,588729,1.33613263860628,103.787735356275,30.55,KALLANG/WHAMPOA
10 JLN BT HO SWEE,7058.823529411765,161010,1.28745837020188,103.832675765986,23.166666666666668,BUKIT MERAH
10 JLN KUKOH,5635.923535253227,162010,1.2869738344398,103.839075823483,18.833333333333332,CENTRAL AREA
10 JLN RUMAH TINGGI,6044.776119402985,150010,1.28820018880462,103.808369387433,36.5,BUKIT MERAH
10 JOO SENG RD,5294.117647058823,360010,1.33461833377097,103.88016502252,9.616666666666667,TOA PAYOH
10 LOR 7 TOA PAYOH,6983.333333333333,310010,1.33716527577081,103.857228807914,20.366666666666667,TOA PAYOH
